* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, desert, sgjourney:abydos_desert, MONSTER, alexsmobs:farseer, 50, 1, 1
2, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:baby_skeleton, 50, 1, 2
3, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:baby_spider, 50, 3, 5
4, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:barrel_zombie, 50, 1, 1
5, desert, sgjourney:abydos_desert, MONSTER, quark:stoneling, 10, 1, 1
6, desert, sgjourney:abydos_desert, MONSTER, quark:toretoise, 10, 2, 4
7, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:bloody_gadfly, 10, 1, 1
8, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
9, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:boulder, 50, 1, 1
10, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:corpse_fly, 10, 1, 3
11, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
12, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 1
13, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 1, 1
14, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:dig, 50, 2, 2
15, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
16, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:door_knight, 10, 1, 1
17, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dread_hound, 10, 3, 5
18, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:drimble, 10, 1, 1
19, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
20, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
21, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
22, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
23, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
